Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
LAMPUNG,LAMPUNG SELATAN,1803,L,"21,674","44,693","120,342","36,106","22,416"
LAMPUNG,LAMPUNG TIMUR,1804,P,"15,476","31,412","83,774","28,524","22,583"
LAMPUNG,LAMPUNG TIMUR,1804,L,"16,713","33,912","90,603","29,261","21,421"
LAMPUNG,LAMPUNG TENGAH,1805,P,"18,556","34,617","97,886","31,034","23,870"
LAMPUNG,LAMPUNG TENGAH,1805,L,"19,790","37,239","104,778","32,156","21,179"
LAMPUNG,LAMPUNG UTARA,1806,P,"12,186","25,432","63,258","20,651","11,431"
LAMPUNG,LAMPUNG UTARA,1806,L,"13,355","27,233","69,407","21,079","11,562"
LAMPUNG,WAY KANAN,1807,P,"7,491","15,045","40,685","12,110","7,378"
LAMPUNG,WAY KANAN,1807,L,"7,991","16,037","43,908","12,141","7,796"
LAMPUNG,TULANGBAWANG,1808,P,"6,560","13,480","36,131","10,522","6,041"
LAMPUNG,TULANGBAWANG,1808,L,"7,167","14,679","38,250","11,768","7,104"
LAMPUNG,PESAWARAN,1809,P,"10,221","19,563","53,317","16,782","10,497"
LAMPUNG,PESAWARAN,1809,L,"10,746","21,044","58,337","18,070","10,684"
LAMPUNG,PRINGSEWU,1810,P,"5,688","11,496","29,963","10,086","6,876"
LAMPUNG,PRINGSEWU,1810,L,"6,124","12,489","33,448","11,550","6,387"
LAMPUNG,MESUJI,1811,P,"2,736","6,398","17,257","5,609","3,780"
LAMPUNG,MESUJI,1811,L,"3,040","6,770","18,850","5,672","4,345"
LAMPUNG,TULANG BAWANG BARAT,1812,P,"3,412","6,946","17,929","5,466","4,677"
LAMPUNG,TULANG BAWANG BARAT,1812,L,"3,655","7,385","19,093","5,657","4,338"
LAMPUNG,PESISIR BARAT,1813,P,"3,279","7,703","18,160","6,075","2,693"
LAMPUNG,PESISIR BARAT,1813,L,"3,816","8,361","20,747","6,599","3,288"
LAMPUNG,KOTA BANDAR LAMPUNG,1871,P,"13,710","28,802","77,851","25,317","12,789"
LAMPUNG,KOTA BANDAR LAMPUNG,1871,L,"14,903","31,121","85,796","26,487","11,743"
LAMPUNG,KOTA METRO,1872,P,"1,404","2,680","7,459","2,785","1,728"
LAMPUNG,KOTA METRO,1872,L,"1,505","2,818","8,348","2,861","1,539"
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,P,"1,992","4,363","9,790","4,567","4,384"
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,L,"2,069","4,782","12,484","3,795","3,042"
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,P,967,"2,091","5,246","3,254","3,531"
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,L,999,"2,243","7,392","2,760","2,639"
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,P,"1,106","2,738","4,933","1,725","1,316"
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,L,"1,176","2,781","6,076","1,593",978
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,P,"1,430","3,219","7,248","3,102","2,485"
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,L,"1,656","3,403","8,878","2,630","1,918"
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,P,"1,029","2,278","5,586","2,545","2,235"
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,L,"1,091","2,481","6,606","2,047","1,533"
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,P,746,"1,698","4,144","2,365","3,016"
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,L,819,"1,813","5,611","2,068","2,308"
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,P,970,"2,576","6,422","2,926","2,273"
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,L,"1,080","2,708","7,491","2,481","1,550"
KEPULAUAN RIAU,KARIMUN,2101,P,"1,732","4,486","11,165","4,818","3,056"
KEPULAUAN RIAU,KARIMUN,2101,L,"1,828","4,792","12,887","4,508","2,718"
KEPULAUAN RIAU,BINTAN,2102,P,"1,327","2,988","6,063","1,782",695
KEPULAUAN RIAU,BINTAN,2102,L,"1,423","3,190","6,463","2,162",748
KEPULAUAN RIAU,NATUNA,2103,P,425,"1,163","2,121",865,416
KEPULAUAN RIAU,NATUNA,2103,L,442,"1,226","2,493",851,491
KEPULAUAN RIAU,LINGGA,2104,P,806,"2,174","4,898","2,377","1,856"
KEPULAUAN RIAU,LINGGA,2104,L,902,"2,208","6,005","2,154","1,537"
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,P,160,517,751,212,103
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,L,160,478,878,278,96
KEPULAUAN RIAU,KOTA BATAM,2171,P,"9,789","19,134","37,238","7,904","2,682"
KEPULAUAN RIAU,KOTA BATAM,2171,L,"10,188","20,542","35,651","9,750","2,863"
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,P,"1,518","3,882","8,834","3,260","1,603"
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,L,"1,723","4,063","9,228","3,315","1,404"
DKI JAKARTA,KEPULAUAN SERIBU,3101,P,314,629,"1,649",633,308
DKI JAKARTA,KEPULAUAN SERIBU,3101,L,303,683,"1,728",665,253
DKI JAKARTA,KOTA JAKARTA SELATAN,3171,P,"4,491","13,961","30,875","14,206","6,754"
DKI JAKARTA,KOTA JAKARTA SELATAN,3171,L,"4,858","15,322","33,284","13,936","4,866"
DKI JAKARTA,KOTA JAKARTA TIMUR,3172,P,"6,765","22,953","54,624","25,920","12,292"
DKI JAKARTA,KOTA JAKARTA TIMUR,3172,L,"7,297","24,786","60,369","24,234","9,613"
DKI JAKARTA,KOTA JAKARTA PUSAT,3173,P,"3,124","10,505","25,703","14,389","7,605"
DKI JAKARTA,KOTA JAKARTA PUSAT,3173,L,"3,400","11,384","30,140","13,137","5,497"
DKI JAKARTA,KOTA JAKARTA BARAT,3174,P,"5,991","18,610","44,190","20,678","9,384"
DKI JAKARTA,KOTA JAKARTA BARAT,3174,L,"6,610","20,503","50,790","18,842","7,098"
DKI JAKARTA,KOTA JAKARTA UTARA,3175,P,"8,876","24,933","61,722","25,485","9,684"
DKI JAKARTA,KOTA JAKARTA UTARA,3175,L,"9,643","26,628","67,080","23,895","8,165"
JAWA BARAT,BOGOR,3201,P,"38,499","114,492","258,963","105,747","62,924"
JAWA BARAT,BOGOR,3201,L,"41,503","124,684","317,404","100,157","54,962"
JAWA BARAT,SUKABUMI,3202,P,"33,889","87,496","187,513","73,664","36,777"
JAWA BARAT,SUKABUMI,3202,L,"36,542","93,766","201,309","77,421","43,950"
JAWA BARAT,CIANJUR,3203,P,"39,170","90,238","219,130","86,490","59,176"
JAWA BARAT,CIANJUR,3203,L,"42,457","97,582","237,403","85,537","51,203"
JAWA BARAT,BANDUNG,3204,P,"53,350","114,448","259,764","90,589","58,779"
JAWA BARAT,BANDUNG,3204,L,"57,357","123,678","294,338","90,547","54,163"
JAWA BARAT,GARUT,3205,P,"51,892","121,938","260,288","88,257","58,769"
JAWA BARAT,GARUT,3205,L,"55,624","130,501","286,901","89,929","51,196"
JAWA BARAT,TASIKMALAYA,3206,P,"26,871","62,850","145,082","63,771","49,349"
JAWA BARAT,TASIKMALAYA,3206,L,"28,627","67,153","155,515","63,397","39,587"
JAWA BARAT,CIAMIS,3207,P,"15,642","35,330","87,642","47,001","44,615"
JAWA BARAT,CIAMIS,3207,L,"16,555","38,455","94,439","42,870","33,289"
JAWA BARAT,KUNINGAN,3208,P,"13,706","31,867","78,170","36,285","29,682"
JAWA BARAT,KUNINGAN,3208,L,"14,858","34,851","89,552","35,606","25,423"
JAWA BARAT,CIREBON,3209,P,"33,931","75,929","220,620","77,334","51,366"
JAWA BARAT,CIREBON,3209,L,"36,858","82,758","248,187","76,515","43,553"
JAWA BARAT,MAJALENGKA,3210,P,"15,047","33,744","85,769","42,588","41,844"
JAWA BARAT,MAJALENGKA,3210,L,"16,138","35,998","95,065","38,238","31,262"
JAWA BARAT,SUMEDANG,3211,P,"10,204","22,964","51,855","28,567","29,348"
JAWA BARAT,SUMEDANG,3211,L,"11,139","25,378","57,234","26,251","24,971"
JAWA BARAT,INDRAMAYU,3212,P,"22,641","56,202","162,588","77,072","51,114"
JAWA BARAT,INDRAMAYU,3212,L,"24,544","60,173","176,878","71,449","43,016"
JAWA BARAT,SUBANG,3213,P,"14,869","38,515","98,813","44,247","24,242"
JAWA BARAT,SUBANG,3213,L,"16,182","41,356","103,132","45,115","28,244"
JAWA BARAT,PURWAKARTA,3214,P,"7,318","20,516","43,411","18,851","12,893"
JAWA BARAT,PURWAKARTA,3214,L,"8,035","22,117","50,446","18,632","12,753"
JAWA BARAT,KARAWANG,3215,P,"22,005","59,975","163,657","74,487","40,968"
JAWA BARAT,KARAWANG,3215,L,"24,312","64,683","176,941","73,377","41,305"
JAWA BARAT,BEKASI,3216,P,"14,956","45,886","130,251","52,298","29,580"
JAWA BARAT,BEKASI,3216,L,"16,134","49,156","140,506","50,641","27,081"
JAWA BARAT,BANDUNG BARAT,3217,P,"18,275","45,299","102,507","41,543","30,533"
JAWA BARAT,BANDUNG BARAT,3217,L,"20,075","48,729","115,337","39,745","25,659"
JAWA BARAT,PANGANDARAN,3218,P,"4,248","9,395","24,591","12,749","12,278"
JAWA BARAT,PANGANDARAN,3218,L,"4,557","9,918","25,538","10,874","9,104"
JAWA BARAT,KOTA BOGOR,3271,P,"9,525","23,505","60,827","23,906","11,936"
JAWA BARAT,KOTA BOGOR,3271,L,"10,368","25,420","70,407","23,365","11,014"
JAWA BARAT,KOTA SUKABUMI,3272,P,"3,091","7,685","17,855","8,150","5,623"
JAWA BARAT,KOTA SUKABUMI,3272,L,"3,352","8,247","20,861","7,818","4,727"
JAWA BARAT,KOTA BANDUNG,3273,P,"14,473","38,269","90,779","39,136","22,584"
JAWA BARAT,KOTA BANDUNG,3273,L,"15,993","40,986","103,485","38,076","19,043"
JAWA BARAT,KOTA CIREBON,3274,P,"3,447","8,420","21,078","9,206","5,218"
JAWA BARAT,KOTA CIREBON,3274,L,"3,749","9,301","24,482","8,516","4,318"
JAWA BARAT,KOTA BEKASI,3275,P,"9,335","30,094","88,070","33,836","14,960"
JAWA BARAT,KOTA BEKASI,3275,L,"10,401","33,020","91,358","32,450","14,042"
JAWA BARAT,KOTA DEPOK,3276,P,"7,977","22,902","63,671","28,975","14,891"
JAWA BARAT,KOTA DEPOK,3276,L,"8,709","25,210","73,041","26,868","13,072"
JAWA BARAT,KOTA CIMAHI,3277,P,"3,581","9,380","19,644","7,964","4,493"
JAWA BARAT,KOTA CIMAHI,3277,L,"3,963","9,970","22,287","7,704","4,085"
JAWA BARAT,KOTA TASIKMALAYA,3278,P,"10,330","22,212","52,169","20,174","13,498"
JAWA BARAT,KOTA TASIKMALAYA,3278,L,"11,010","24,151","59,943","20,620","11,691"
JAWA BARAT,KOTA BANJAR,3279,P,"1,293","3,169","6,927","3,972","3,533"
JAWA BARAT,KOTA BANJAR,3279,L,"1,393","3,404","7,739","3,315","2,675"
JAWA TENGAH,CILACAP,3301,P,"28,567","57,336","146,819","70,677","54,085"
JAWA TENGAH,CILACAP,3301,L,"30,569","61,909","155,372","65,575","48,097"
JAWA TENGAH,BANYUMAS,3302,P,"32,302","59,738","160,024","76,920","58,699"
JAWA TENGAH,BANYUMAS,3302,L,"34,883","64,584","172,392","75,485","55,418"
JAWA TENGAH,PURBALINGGA,3303,P,"19,506","36,238","95,721","39,087","32,822"
JAWA TENGAH,PURBALINGGA,3303,L,"21,043","38,597","105,086","38,389","31,138"
JAWA TENGAH,BANJARNEGARA,3304,P,"14,697","27,873","78,948","35,419","28,633"
JAWA TENGAH,BANJARNEGARA,3304,L,"15,675","29,901","86,258","33,922","26,492"
JAWA TENGAH,KEBUMEN,3305,P,"22,310","46,368","116,450","56,000","41,973"
JAWA TENGAH,KEBUMEN,3305,L,"23,982","50,182","127,327","54,577","38,125"
JAWA TENGAH,PURWOREJO,3306,P,"9,024","19,860","48,724","28,276","23,518"
JAWA TENGAH,PURWOREJO,3306,L,"9,629","21,272","52,363","27,415","19,303"
JAWA TENGAH,WONOSOBO,3307,P,"11,978","23,062","57,635","28,802","22,986"
JAWA TENGAH,WONOSOBO,3307,L,"12,694","24,365","63,452","27,350","22,437"
JAWA TENGAH,MAGELANG,3308,P,"20,284","41,169","115,970","53,836","37,192"
JAWA TENGAH,MAGELANG,3308,L,"21,451","43,971","126,390","53,122","34,184"
JAWA TENGAH,BOYOLALI,3309,P,"10,352","21,795","56,314","30,997","33,582"
JAWA TENGAH,BOYOLALI,3309,L,"11,352","24,108","62,868","27,075","25,313"
JAWA TENGAH,KLATEN,3310,P,"17,566","37,854","104,456","56,420","51,440"
JAWA TENGAH,KLATEN,3310,L,"18,630","40,195","112,345","51,403","41,167"
JAWA TENGAH,SUKOHARJO,3311,P,"9,025","19,193","55,797","28,859","27,491"
JAWA TENGAH,SUKOHARJO,3311,L,"9,743","20,636","61,948","27,277","22,853"
JAWA TENGAH,WONOGIRI,3312,P,"7,922","18,853","53,843","36,550","39,166"
JAWA TENGAH,WONOGIRI,3312,L,"8,335","19,968","58,477","33,221","30,819"
JAWA TENGAH,KARANGANYAR,3313,P,"8,467","18,877","52,539","28,461","25,582"
JAWA TENGAH,KARANGANYAR,3313,L,"8,969","20,044","57,302","25,403","20,356"
JAWA TENGAH,SRAGEN,3314,P,"8,865","18,069","47,081","25,021","29,607"
JAWA TENGAH,SRAGEN,3314,L,"9,525","19,726","49,923","21,271","21,149"
JAWA TENGAH,GROBOGAN,3315,P,"19,858","42,294","113,926","59,755","51,746"
JAWA TENGAH,GROBOGAN,3315,L,"20,911","44,682","122,101","50,615","37,431"
JAWA TENGAH,BLORA,3316,P,"10,718","23,174","68,506","38,591","30,650"
JAWA TENGAH,BLORA,3316,L,"11,171","25,058","71,342","34,156","24,606"
JAWA TENGAH,REMBANG,3317,P,"12,173","21,404","68,215","30,447","21,794"
JAWA TENGAH,REMBANG,3317,L,"13,121","23,181","73,547","28,792","18,013"
JAWA TENGAH,PATI,3318,P,"17,562","34,589","113,426","61,710","53,416"
JAWA TENGAH,PATI,3318,L,"18,529","37,378","122,007","54,208","40,011"
JAWA TENGAH,KUDUS,3319,P,"6,994","15,111","45,442","22,912","15,861"
JAWA TENGAH,KUDUS,3319,L,"7,445","16,335","50,027","18,949","11,083"
JAWA TENGAH,JEPARA,3320,P,"17,381","38,681","107,482","47,912","38,838"
JAWA TENGAH,JEPARA,3320,L,"18,874","41,697","119,615","42,739","29,061"
JAWA TENGAH,DEMAK,3321,P,"19,027","39,496","112,881","48,122","33,872"
JAWA TENGAH,DEMAK,3321,L,"20,420","42,177","121,715","42,629","25,455"
JAWA TENGAH,SEMARANG,3322,P,"8,744","17,665","46,683","25,801","23,680"
JAWA TENGAH,SEMARANG,3322,L,"9,052","19,246","51,214","23,466","18,644"
JAWA TENGAH,TEMANGGUNG,3323,P,"11,363","21,176","57,912","30,613","20,958"
JAWA TENGAH,TEMANGGUNG,3323,L,"12,041","22,581","64,044","29,131","19,028"
JAWA TENGAH,KENDAL,3324,P,"11,415","21,807","64,381","33,742","26,680"
JAWA TENGAH,KENDAL,3324,L,"11,919","23,436","73,525","29,847","20,243"
JAWA TENGAH,BATANG,3325,P,"11,770","21,307","61,477","26,158","18,703"
JAWA TENGAH,BATANG,3325,L,"12,518","22,677","66,709","25,936","16,607"
JAWA TENGAH,PEKALONGAN,3326,P,"18,506","35,469","100,960","39,077","24,748"
JAWA TENGAH,PEKALONGAN,3326,L,"19,668","38,579","116,903","39,376","21,962"
JAWA TENGAH,PEMALANG,3327,P,"27,060","55,671","152,388","61,608","40,662"
JAWA TENGAH,PEMALANG,3327,L,"29,469","59,730","169,722","59,693","36,762"
JAWA TENGAH,TEGAL,3328,P,"23,977","53,233","143,021","59,671","42,381"
JAWA TENGAH,TEGAL,3328,L,"25,648","57,352","165,898","55,972","34,415"
JAWA TENGAH,BREBES,3329,P,"41,593","79,902","234,393","87,320","59,187"
JAWA TENGAH,BREBES,3329,L,"44,253","85,366","262,457","86,104","51,913"
JAWA TENGAH,KOTA MAGELANG,3371,P,"1,000","2,456","6,769","3,677","2,428"
JAWA TENGAH,KOTA MAGELANG,3371,L,"1,030","2,479","7,462","3,281","1,968"
JAWA TENGAH,KOTA SURAKARTA,3372,P,"4,609","10,966","29,327","14,961","9,589"
JAWA TENGAH,KOTA SURAKARTA,3372,L,"4,949","11,448","32,401","13,578","7,600"
JAWA TENGAH,KOTA SALATIGA,3373,P,"1,212","2,419","6,370","3,296","2,720"
JAWA TENGAH,KOTA SALATIGA,3373,L,"1,254","2,624","7,054","2,890","2,134"
JAWA TENGAH,KOTA SEMARANG,3374,P,"8,276","20,332","55,284","29,966","19,233"
JAWA TENGAH,KOTA SEMARANG,3374,L,"8,830","22,130","60,095","25,155","15,110"
JAWA TENGAH,KOTA PEKALONGAN,3375,P,"4,219","9,293","26,453","10,859","5,657"
JAWA TENGAH,KOTA PEKALONGAN,3375,L,"4,355","10,013","30,002","10,313","4,617"
JAWA TENGAH,KOTA TEGAL,3376,P,"2,830","6,852","17,778","7,967","4,852"
JAWA TENGAH,KOTA TEGAL,3376,L,"2,962","7,234","20,458","7,302","3,717"
DI YOGYAKARTA,KULON PROGO,3401,P,"4,987","9,093","21,956","15,166","18,356"
DI YOGYAKARTA,KULON PROGO,3401,L,"5,196","9,689","24,171","14,011","14,690"
DI YOGYAKARTA,BANTUL,3402,P,"11,087","21,338","56,831","33,672","33,542"
DI YOGYAKARTA,BANTUL,3402,L,"11,950","22,867","62,844","32,150","27,419"
DI YOGYAKARTA,GUNUNG KIDUL,3403,P,"10,005","19,416","56,082","38,034","44,642"
DI YOGYAKARTA,GUNUNG KIDUL,3403,L,"10,447","20,652","58,872","32,845","37,169"
DI YOGYAKARTA,SLEMAN,3404,P,"11,573","23,061","64,199","34,383","30,603"
DI YOGYAKARTA,SLEMAN,3404,L,"11,823","23,768","68,622","31,813","24,231"
DI YOGYAKARTA,KOTA YOGYAKARTA,3471,P,"2,804","6,381","16,636","9,788","6,910"
DI YOGYAKARTA,KOTA YOGYAKARTA,3471,L,"2,977","6,786","18,125","9,138","5,395"
JAWA TIMUR,PACITAN,3501,P,"4,128","9,691","28,245","20,085","22,289"
JAWA TIMUR,PACITAN,3501,L,"4,349","10,476","31,147","17,686","16,879"
JAWA TIMUR,PONOROGO,3502,P,"7,689","18,294","60,012","39,667","41,289"
JAWA TIMUR,PONOROGO,3502,L,"8,059","19,630","68,760","38,254","31,559"
JAWA TIMUR,TRENGGALEK,3503,P,"7,317","15,677","48,973","29,520","28,883"
JAWA TIMUR,TRENGGALEK,3503,L,"7,665","16,668","56,771","27,040","23,030"
JAWA TIMUR,TULUNGAGUNG,3504,P,"7,503","18,173","53,967","33,095","35,533"
JAWA TIMUR,TULUNGAGUNG,3504,L,"7,902","19,796","62,372","29,564","26,028"
JAWA TIMUR,BLITAR,3505,P,"9,886","21,304","60,925","36,561","38,138"
JAWA TIMUR,BLITAR,3505,L,"10,410","23,202","69,011","33,985","28,722"
JAWA TIMUR,KEDIRI,3506,P,"15,545","34,729","91,610","51,434","46,942"
JAWA TIMUR,KEDIRI,3506,L,"16,785","36,922","106,286","46,897","36,142"
JAWA TIMUR,MALANG,3507,P,"19,604","46,749","133,395","73,600","64,010"
JAWA TIMUR,MALANG,3507,L,"20,425","49,286","150,114","66,333","49,415"
JAWA TIMUR,LUMAJANG,3508,P,"12,137","27,274","89,066","50,070","37,542"
JAWA TIMUR,LUMAJANG,3508,L,"12,809","29,457","92,095","44,351","29,938"
JAWA TIMUR,JEMBER,3509,P,"23,922","65,345","186,522","98,809","77,768"
JAWA TIMUR,JEMBER,3509,L,"25,144","69,888","192,312","90,579","62,186"
JAWA TIMUR,BANYUWANGI,3510,P,"13,056","34,181","93,507","59,335","59,029"
JAWA TIMUR,BANYUWANGI,3510,L,"14,003","36,094","100,631","51,461","44,213"
JAWA TIMUR,BONDOWOSO,3511,P,"11,837","28,667","86,956","48,482","38,757"
JAWA TIMUR,BONDOWOSO,3511,L,"12,538","30,732","86,788","45,511","30,311"
JAWA TIMUR,SITUBONDO,3512,P,"6,784","16,460","52,405","35,162","30,847"
JAWA TIMUR,SITUBONDO,3512,L,"7,222","17,302","51,296","29,539","20,991"
JAWA TIMUR,PROBOLINGGO,3513,P,"17,335","40,348","126,176","63,503","43,165"
JAWA TIMUR,PROBOLINGGO,3513,L,"18,486","42,845","124,271","59,211","34,612"
JAWA TIMUR,PASURUAN,3514,P,"17,958","42,935","141,657","68,780","42,407"
JAWA TIMUR,PASURUAN,3514,L,"19,761","45,862","144,732","60,213","32,134"
JAWA TIMUR,SIDOARJO,3515,P,"10,398","27,679","82,919","46,196","30,077"
JAWA TIMUR,SIDOARJO,3515,L,"11,099","30,057","92,548","38,912","23,816"
JAWA TIMUR,MOJOKERTO,3516,P,"9,729","20,995","59,508","27,811","21,288"
JAWA TIMUR,MOJOKERTO,3516,L,"10,198","22,074","65,070","26,460","17,037"
JAWA TIMUR,JOMBANG,3517,P,"16,029","36,574","98,929","51,404","41,007"
JAWA TIMUR,JOMBANG,3517,L,"16,785","38,585","109,268","48,231","30,953"
JAWA TIMUR,NGANJUK,3518,P,"14,162","32,192","95,431","48,491","40,452"
JAWA TIMUR,NGANJUK,3518,L,"15,360","34,268","106,221","46,417","32,502"
JAWA TIMUR,MADIUN,3519,P,"5,385","12,373","34,013","25,633","26,400"
JAWA TIMUR,MADIUN,3519,L,"5,689","13,500","36,992","23,005","19,815"
JAWA TIMUR,MAGETAN,3520,P,"5,082","11,184","34,127","21,661","26,489"
JAWA TIMUR,MAGETAN,3520,L,"5,558","12,153","37,747","19,135","17,769"
JAWA TIMUR,NGAWI,3521,P,"10,040","23,391","72,541","40,079","37,741"
JAWA TIMUR,NGAWI,3521,L,"10,781","25,349","76,150","37,945","29,897"
JAWA TIMUR,BOJONEGORO,3522,P,"14,765","34,171","109,355","59,422","46,041"
JAWA TIMUR,BOJONEGORO,3522,L,"15,937","36,768","116,389","56,466","36,515"
JAWA TIMUR,TUBAN,3523,P,"12,997","27,685","90,856","44,651","34,139"
JAWA TIMUR,TUBAN,3523,L,"13,807","29,903","98,744","40,117","25,229"
JAWA TIMUR,LAMONGAN,3524,P,"13,610","27,833","87,378","46,004","34,905"
JAWA TIMUR,LAMONGAN,3524,L,"14,515","29,901","94,809","42,334","27,056"
JAWA TIMUR,GRESIK,3525,P,"11,217","25,210","77,520","36,381","24,309"
JAWA TIMUR,GRESIK,3525,L,"12,016","27,213","84,733","31,863","18,577"
JAWA TIMUR,BANGKALAN,3526,P,"8,994","32,759","109,924","52,545","32,708"
JAWA TIMUR,BANGKALAN,3526,L,"9,461","35,014","109,962","42,795","26,101"
JAWA TIMUR,SAMPANG,3527,P,"15,369","42,917","126,089","53,663","28,044"
JAWA TIMUR,SAMPANG,3527,L,"16,058","45,127","124,505","47,081","24,078"
JAWA TIMUR,PAMEKASAN,3528,P,"11,303","31,609","108,524","46,418","26,499"
