Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
LAMPUNG,LAMPUNG SELATAN,1803,L,"29,305","1,561","11,491","1,591","5,947",329,241
LAMPUNG,LAMPUNG TIMUR,1804,P,"20,323",648,"9,390",575,"4,175",194,150
LAMPUNG,LAMPUNG TIMUR,1804,L,"22,304",707,"9,665",542,"4,092",130,88
LAMPUNG,LAMPUNG TENGAH,1805,P,"22,861",465,"9,776",694,"4,099",225,249
LAMPUNG,LAMPUNG TENGAH,1805,L,"25,298",502,"9,578",641,"3,962",170,159
LAMPUNG,LAMPUNG UTARA,1806,P,"16,820",387,"7,342",569,"3,867",233,162
LAMPUNG,LAMPUNG UTARA,1806,L,"18,318",389,"7,553",593,"3,707",183,102
LAMPUNG,WAY KANAN,1807,P,"10,293",151,"4,234",297,"2,248",106,72
LAMPUNG,WAY KANAN,1807,L,"10,944",143,"4,340",269,"2,082",85,50
LAMPUNG,TULANGBAWANG,1808,P,"8,870",286,"3,661",247,"1,575",85,128
LAMPUNG,TULANGBAWANG,1808,L,"9,769",322,"3,763",217,"1,640",78,75
LAMPUNG,PESAWARAN,1809,P,"12,916",456,"5,416",763,"2,527",226,189
LAMPUNG,PESAWARAN,1809,L,"14,126",516,"5,567",681,"2,568",172,127
LAMPUNG,PRINGSEWU,1810,P,"7,402",184,"3,548",212,"1,872",49,110
LAMPUNG,PRINGSEWU,1810,L,"8,298",192,"3,670",236,"1,727",36,54
LAMPUNG,MESUJI,1811,P,"4,396",66,"1,586",107,624,21,32
LAMPUNG,MESUJI,1811,L,"4,634",58,"1,666",79,639,21,44
LAMPUNG,TULANG BAWANG BARAT,1812,P,"4,711",67,"1,881",76,585,40,30
LAMPUNG,TULANG BAWANG BARAT,1812,L,"5,087",74,"1,825",64,558,29,29
LAMPUNG,PESISIR BARAT,1813,P,"5,434",75,"2,196",136,"1,356",55,35
LAMPUNG,PESISIR BARAT,1813,L,"6,001",84,"2,240",147,"1,354",47,29
LAMPUNG,KOTA BANDAR LAMPUNG,1871,P,"18,859",222,"9,589",118,"6,624",29,897
LAMPUNG,KOTA BANDAR LAMPUNG,1871,L,"20,739",267,"9,919",150,"6,265",26,562
LAMPUNG,KOTA METRO,1872,P,"1,732",8,902,1,649,1,187
LAMPUNG,KOTA METRO,1872,L,"1,869",9,941,2,623,0,85
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,P,"2,794",84,"1,127",237,702,74,94
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,L,"3,284",75,"1,058",205,605,55,57
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,P,"1,350",3,655,2,389,5,23
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,L,"1,495",4,659,4,380,4,29
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,P,"1,798",13,521,69,210,15,13
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,L,"1,839",11,503,44,197,13,10
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,P,"2,071",35,876,48,506,8,55
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,L,"2,298",28,773,43,434,10,41
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,P,"1,441",12,554,24,359,14,28
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,1905,L,"1,591",3,505,16,274,11,22
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,P,"1,113",2,469,31,319,2,12
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,1906,L,"1,221",4,466,25,305,1,7
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,P,"1,637",7,817,21,570,11,95
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,1971,L,"1,756",3,794,16,555,8,66
KEPULAUAN RIAU,KARIMUN,2101,P,"2,900",19,"1,360",52,838,14,75
KEPULAUAN RIAU,KARIMUN,2101,L,"3,171",17,"1,376",39,839,7,62
KEPULAUAN RIAU,BINTAN,2102,P,"1,920",26,832,40,606,7,110
KEPULAUAN RIAU,BINTAN,2102,L,"2,100",26,847,30,601,5,88
KEPULAUAN RIAU,NATUNA,2103,P,745,8,315,50,241,9,31
KEPULAUAN RIAU,NATUNA,2103,L,850,6,302,48,251,17,20
KEPULAUAN RIAU,LINGGA,2104,P,"1,388",2,527,12,304,10,48
KEPULAUAN RIAU,LINGGA,2104,L,"1,446",7,501,22,306,2,55
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,P,348,1,129,5,97,2,4
KEPULAUAN RIAU,KEPULAUAN ANAMBAS,2105,L,330,1,116,7,72,3,3
KEPULAUAN RIAU,KOTA BATAM,2171,P,"13,752",26,"4,635",48,"2,437",12,296
KEPULAUAN RIAU,KOTA BATAM,2171,L,"14,758",41,"4,982",52,"2,492",17,209
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,P,"2,487",17,"1,240",19,862,7,438
KEPULAUAN RIAU,KOTA TANJUNG PINANG,2172,L,"2,709",16,"1,225",28,923,3,341
DKI JAKARTA,KEPULAUAN SERIBU,3101,P,357,30,214,30,123,46,5
DKI JAKARTA,KEPULAUAN SERIBU,3101,L,428,27,207,36,130,25,4
DKI JAKARTA,KOTA JAKARTA SELATAN,3171,P,"8,478",235,"4,817",101,"3,107",22,279
DKI JAKARTA,KOTA JAKARTA SELATAN,3171,L,"9,489",276,"5,180",115,"3,331",27,235
DKI JAKARTA,KOTA JAKARTA TIMUR,3172,P,"14,295",70,"7,979",103,"5,266",39,314
DKI JAKARTA,KOTA JAKARTA TIMUR,3172,L,"15,596",93,"8,547",84,"5,572",21,206
DKI JAKARTA,KOTA JAKARTA PUSAT,3173,P,"6,296",14,"3,692",6,"2,627",2,185
DKI JAKARTA,KOTA JAKARTA PUSAT,3173,L,"7,114",15,"3,859",14,"2,628",4,135
DKI JAKARTA,KOTA JAKARTA BARAT,3174,P,"11,365",294,"6,082",102,"3,830",31,182
DKI JAKARTA,KOTA JAKARTA BARAT,3174,L,"12,770",288,"6,585",115,"3,819",30,139
DKI JAKARTA,KOTA JAKARTA UTARA,3175,P,"15,689",181,"8,166",140,"5,147",43,335
DKI JAKARTA,KOTA JAKARTA UTARA,3175,L,"17,142",185,"8,412",127,"5,226",27,236
JAWA BARAT,BOGOR,3201,P,"67,716","6,965","27,903","3,492","11,523",468,382
JAWA BARAT,BOGOR,3201,L,"74,460","7,454","31,055","3,548","14,298",362,316
JAWA BARAT,SUKABUMI,3202,P,"54,661","4,057","22,324","4,598","5,512",781,116
JAWA BARAT,SUKABUMI,3202,L,"59,571","4,377","23,377","4,363","6,599",673,120
JAWA BARAT,CIANJUR,3203,P,"58,998","1,804","22,153","2,185","6,127",450,141
JAWA BARAT,CIANJUR,3203,L,"64,271","2,031","23,114","2,055","7,074",405,151
JAWA BARAT,BANDUNG,3204,P,"74,301","1,234","31,778","2,102","11,902",722,335
JAWA BARAT,BANDUNG,3204,L,"80,756","1,387","32,281","2,025","12,252",628,299
JAWA BARAT,GARUT,3205,P,"79,138","2,819","30,473","6,087","11,612","1,305",475
JAWA BARAT,GARUT,3205,L,"85,494","3,183","31,615","5,807","12,424","1,213",398
JAWA BARAT,TASIKMALAYA,3206,P,"38,440","2,651","14,960","4,109","5,445","1,004",267
JAWA BARAT,TASIKMALAYA,3206,L,"41,743","2,802","15,532","3,888","5,504",785,245
JAWA BARAT,CIAMIS,3207,P,"20,531","2,318","8,407","3,075","4,264",542,247
JAWA BARAT,CIAMIS,3207,L,"22,732","2,571","8,922","2,876","4,304",429,160
JAWA BARAT,KUNINGAN,3208,P,"19,979",957,"8,211","1,596","4,055",200,65
JAWA BARAT,KUNINGAN,3208,L,"21,897",955,"8,873","1,507","3,899",129,62
JAWA BARAT,CIREBON,3209,P,"49,008","1,491","23,061","2,087","11,425",352,486
JAWA BARAT,CIREBON,3209,L,"54,070","1,635","23,549","1,932","10,720",243,301
JAWA BARAT,MAJALENGKA,3210,P,"20,683",915,"7,851","2,896","3,893",746,260
JAWA BARAT,MAJALENGKA,3210,L,"22,114","1,021","8,199","2,707","4,020",454,225
JAWA BARAT,SUMEDANG,3211,P,"14,439",338,"6,819",573,"1,814",86,52
JAWA BARAT,SUMEDANG,3211,L,"16,138",352,"7,097",540,"2,019",76,37
JAWA BARAT,INDRAMAYU,3212,P,"34,723","1,033","17,177","1,476","8,443",309,324
JAWA BARAT,INDRAMAYU,3212,L,"37,387","1,192","16,902","1,462","8,295",307,299
JAWA BARAT,SUBANG,3213,P,"24,207",549,"11,504","1,346","4,075",181,66
JAWA BARAT,SUBANG,3213,L,"26,278",565,"11,992","1,232","4,549",137,65
JAWA BARAT,PURWAKARTA,3214,P,"12,766",277,"5,221",631,"1,570",128,18
JAWA BARAT,PURWAKARTA,3214,L,"13,728",287,"5,527",660,"1,794",97,26
JAWA BARAT,KARAWANG,3215,P,"37,150","1,125","17,774","1,473","6,594",136,61
JAWA BARAT,KARAWANG,3215,L,"40,180","1,235","18,745","1,380","7,650",106,91
JAWA BARAT,BEKASI,3216,P,"28,642",981,"14,251","1,364","6,771",226,160
JAWA BARAT,BEKASI,3216,L,"30,780","1,111","15,034","1,391","7,662",196,125
JAWA BARAT,BANDUNG BARAT,3217,P,"28,414","1,014","12,323","1,552","4,631",471,122
JAWA BARAT,BANDUNG BARAT,3217,L,"31,098","1,074","12,832","1,481","4,893",388,108
JAWA BARAT,PANGANDARAN,3218,P,"5,675",548,"2,076",607,952,135,45
JAWA BARAT,PANGANDARAN,3218,L,"6,022",588,"2,177",646,912,139,40
JAWA BARAT,KOTA BOGOR,3271,P,"14,592",573,"7,610",361,"4,951",45,319
JAWA BARAT,KOTA BOGOR,3271,L,"15,790",615,"8,158",342,"5,220",39,210
JAWA BARAT,KOTA SUKABUMI,3272,P,"4,602",243,"2,374",228,"1,472",107,111
JAWA BARAT,KOTA SUKABUMI,3272,L,"5,136",261,"2,386",214,"1,496",73,88
JAWA BARAT,KOTA BANDUNG,3273,P,"24,346",125,"12,798",162,"7,934",43,495
JAWA BARAT,KOTA BANDUNG,3273,L,"26,415",139,"13,298",170,"8,024",50,393
JAWA BARAT,KOTA CIREBON,3274,P,"5,174",108,"2,701",110,"1,854",25,135
JAWA BARAT,KOTA CIREBON,3274,L,"5,708",105,"3,021",81,"1,973",17,97
JAWA BARAT,KOTA BEKASI,3275,P,"19,193",332,"10,624",230,"7,766",67,547
JAWA BARAT,KOTA BEKASI,3275,L,"21,153",356,"11,645",239,"8,086",38,491
JAWA BARAT,KOTA DEPOK,3276,P,"13,484","1,017","7,797",327,"6,430",63,713
JAWA BARAT,KOTA DEPOK,3276,L,"14,869","1,123","8,536",319,"6,511",45,618
JAWA BARAT,KOTA CIMAHI,3277,P,"5,899",20,"3,032",44,"1,596",10,64
JAWA BARAT,KOTA CIMAHI,3277,L,"6,333",21,"3,175",44,"1,621",10,36
JAWA BARAT,KOTA TASIKMALAYA,3278,P,"13,052","1,142","5,996","1,362","3,693",396,239
JAWA BARAT,KOTA TASIKMALAYA,3278,L,"14,523","1,217","6,273","1,281","3,611",280,198
JAWA BARAT,KOTA BANJAR,3279,P,"1,802",202,954,149,503,32,15
JAWA BARAT,KOTA BANJAR,3279,L,"1,919",197,"1,041",148,513,26,11
JAWA TENGAH,CILACAP,3301,P,"35,889","2,666","17,116","1,788","8,698",297,280
JAWA TENGAH,CILACAP,3301,L,"39,786","2,951","17,834","1,731","8,475",211,161
JAWA TENGAH,BANYUMAS,3302,P,"35,343","3,630","17,462","2,030","10,657",370,694
JAWA TENGAH,BANYUMAS,3302,L,"39,747","3,865","17,906","2,025","10,258",188,377
JAWA TENGAH,PURBALINGGA,3303,P,"20,910","3,444","9,290","2,068","4,785",187,162
JAWA TENGAH,PURBALINGGA,3303,L,"23,078","3,641","9,179","1,884","4,311",89,78
JAWA TENGAH,BANJARNEGARA,3304,P,"16,319","1,852","6,481","1,336","2,823",243,90
JAWA TENGAH,BANJARNEGARA,3304,L,"17,863","2,000","6,457","1,156","2,604",121,58
JAWA TENGAH,KEBUMEN,3305,P,"29,359","1,906","13,565","2,094","9,871",479,548
JAWA TENGAH,KEBUMEN,3305,L,"32,374","2,279","14,506","2,236","10,349",213,257
JAWA TENGAH,PURWOREJO,3306,P,"12,809",355,"6,123",529,"4,310",58,232
JAWA TENGAH,PURWOREJO,3306,L,"14,165",322,"6,436",453,"4,514",43,122
JAWA TENGAH,WONOSOBO,3307,P,"13,725","1,217","5,611",730,"1,366",82,30
JAWA TENGAH,WONOSOBO,3307,L,"15,001","1,323","5,378",654,"1,276",51,26
JAWA TENGAH,MAGELANG,3308,P,"24,048","3,679","10,992","1,656","6,480",372,601
JAWA TENGAH,MAGELANG,3308,L,"26,359","4,112","11,562","1,638","6,391",238,330
JAWA TENGAH,BOYOLALI,3309,P,"12,943","1,630","6,348",927,"3,559",180,204
JAWA TENGAH,BOYOLALI,3309,L,"14,491","1,882","6,748","1,006","4,058",135,153
JAWA TENGAH,KLATEN,3310,P,"24,496",660,"12,760",263,"8,607",50,735
JAWA TENGAH,KLATEN,3310,L,"26,677",659,"13,252",291,"8,867",32,356
JAWA TENGAH,SUKOHARJO,3311,P,"12,313",254,"6,690",100,"4,035",16,489
JAWA TENGAH,SUKOHARJO,3311,L,"13,623",275,"6,925",95,"3,935",14,267
JAWA TENGAH,WONOGIRI,3312,P,"11,977",139,"6,466",138,"3,056",18,141
JAWA TENGAH,WONOGIRI,3312,L,"13,010",148,"6,648",142,"2,957",21,90
JAWA TENGAH,KARANGANYAR,3313,P,"12,006",390,"6,469",244,"3,252",28,291
JAWA TENGAH,KARANGANYAR,3313,L,"13,082",352,"6,715",229,"3,166",21,151
JAWA TENGAH,SRAGEN,3314,P,"11,422",444,"5,766",348,"3,253",75,105
JAWA TENGAH,SRAGEN,3314,L,"12,735",505,"6,181",369,"3,254",38,52
JAWA TENGAH,GROBOGAN,3315,P,"27,187",988,"11,771","2,778","5,053",653,211
JAWA TENGAH,GROBOGAN,3315,L,"29,391","1,042","11,907","2,694","4,999",494,176
JAWA TENGAH,BLORA,3316,P,"14,607",569,"6,962",853,"3,747",227,176
JAWA TENGAH,BLORA,3316,L,"16,235",626,"7,248",895,"4,052",155,111
JAWA TENGAH,REMBANG,3317,P,"13,110",938,"5,303","2,054","2,912",712,450
JAWA TENGAH,REMBANG,3317,L,"14,678",935,"5,900","1,831","3,075",622,279
JAWA TENGAH,PATI,3318,P,"19,737","3,222","8,214","3,818","4,667","2,064",574
JAWA TENGAH,PATI,3318,L,"21,987","3,424","8,919","3,702","4,879","1,466",366
JAWA TENGAH,KUDUS,3319,P,"7,920","1,627","3,373","2,007","2,387",987,368
JAWA TENGAH,KUDUS,3319,L,"8,861","1,747","3,584","2,039","2,334",732,218
JAWA TENGAH,JEPARA,3320,P,"21,545","4,743","7,935","4,969","4,568","1,999",581
JAWA TENGAH,JEPARA,3320,L,"23,713","5,060","8,419","4,935","4,315","1,483",492
JAWA TENGAH,DEMAK,3321,P,"23,442","3,490","8,132","5,755","5,355","2,688",556
JAWA TENGAH,DEMAK,3321,L,"25,364","3,747","8,785","5,857","5,435","2,153",436
JAWA TENGAH,SEMARANG,3322,P,"10,371","1,064","5,799",430,"2,875",93,184
JAWA TENGAH,SEMARANG,3322,L,"11,468","1,263","6,158",436,"2,810",65,134
JAWA TENGAH,TEMANGGUNG,3323,P,"12,360","1,819","5,535",768,"2,063",93,130
JAWA TENGAH,TEMANGGUNG,3323,L,"13,823","1,994","5,547",730,"1,997",74,82
JAWA TENGAH,KENDAL,3324,P,"13,141","1,131","6,320","1,168","3,674",250,210
JAWA TENGAH,KENDAL,3324,L,"14,642","1,240","6,606","1,198","3,662",171,137
JAWA TENGAH,BATANG,3325,P,"12,599","1,729","5,602","1,191","1,703",137,43
JAWA TENGAH,BATANG,3325,L,"13,671","1,819","5,663","1,209","1,857",116,40
JAWA TENGAH,PEKALONGAN,3326,P,"20,983","2,561","9,841","1,204","4,693",354,414
JAWA TENGAH,PEKALONGAN,3326,L,"23,548","2,674","9,911","1,060","4,366",155,252
JAWA TENGAH,PEMALANG,3327,P,"34,977","1,405","16,104","1,522","7,900",230,310
JAWA TENGAH,PEMALANG,3327,L,"38,396","1,604","16,450","1,452","8,046",181,212
JAWA TENGAH,TEGAL,3328,P,"31,449","2,991","13,864","3,040","8,299",302,531
JAWA TENGAH,TEGAL,3328,L,"34,793","3,314","14,191","2,845","8,277",194,369
JAWA TENGAH,BREBES,3329,P,"46,389","5,308","19,296","5,087","11,138",487,577
JAWA TENGAH,BREBES,3329,L,"50,216","5,592","19,858","4,795","11,516",338,491
JAWA TENGAH,KOTA MAGELANG,3371,P,"1,520",4,829,6,602,7,89
JAWA TENGAH,KOTA MAGELANG,3371,L,"1,594",2,800,5,600,2,71
JAWA TENGAH,KOTA SURAKARTA,3372,P,"6,954",13,"3,909",17,"3,044",6,487
JAWA TENGAH,KOTA SURAKARTA,3372,L,"7,447",9,"4,038",18,"2,826",4,349
JAWA TENGAH,KOTA SALATIGA,3373,P,"1,495",111,791,17,608,10,70
JAWA TENGAH,KOTA SALATIGA,3373,L,"1,708",130,800,14,586,3,41
JAWA TENGAH,KOTA SEMARANG,3374,P,"12,579",210,"6,844",225,"5,442",145,688
JAWA TENGAH,KOTA SEMARANG,3374,L,"14,006",234,"7,410",213,"5,133",112,406
JAWA TENGAH,KOTA PEKALONGAN,3375,P,"5,093",926,"2,793",297,"1,772",99,292
JAWA TENGAH,KOTA PEKALONGAN,3375,L,"5,639",986,"2,903",229,"1,685",45,184
JAWA TENGAH,KOTA TEGAL,3376,P,"4,064",134,"2,191",81,"1,757",17,181
JAWA TENGAH,KOTA TEGAL,3376,L,"4,502",153,"2,086",85,"1,609",6,111
DI YOGYAKARTA,KULON PROGO,3401,P,"5,845",43,"2,985",124,"1,705",28,165
DI YOGYAKARTA,KULON PROGO,3401,L,"6,453",48,"3,159",112,"1,884",16,61
DI YOGYAKARTA,BANTUL,3402,P,"13,394",245,"6,898",230,"4,513",69,792
DI YOGYAKARTA,BANTUL,3402,L,"14,877",255,"7,223",269,"4,389",56,417
DI YOGYAKARTA,GUNUNG KIDUL,3403,P,"12,116",227,"6,607",231,"3,435",14,137
DI YOGYAKARTA,GUNUNG KIDUL,3403,L,"13,261",239,"6,873",248,"3,186",17,74
DI YOGYAKARTA,SLEMAN,3404,P,"14,859",77,"7,503",129,"5,302",39,"1,145"
DI YOGYAKARTA,SLEMAN,3404,L,"15,861",82,"7,605",115,"4,896",15,667
DI YOGYAKARTA,KOTA YOGYAKARTA,3471,P,"4,045",12,"2,199",15,"1,555",1,461
DI YOGYAKARTA,KOTA YOGYAKARTA,3471,L,"4,360",11,"2,357",16,"1,598",6,348
JAWA TIMUR,PACITAN,3501,P,"5,781",463,"2,725",575,"1,122",132,80
JAWA TIMUR,PACITAN,3501,L,"6,276",511,"2,968",569,"1,105",124,66
JAWA TIMUR,PONOROGO,3502,P,"11,684",409,"5,968",917,"3,508",530,658
JAWA TIMUR,PONOROGO,3502,L,"12,812",461,"6,204",923,"3,295",399,427
JAWA TIMUR,TRENGGALEK,3503,P,"9,386",650,"5,219",425,"2,233",119,226
JAWA TIMUR,TRENGGALEK,3503,L,"10,136",683,"5,445",424,"2,303",113,145
JAWA TIMUR,TULUNGAGUNG,3504,P,"11,363",758,"5,610",749,"3,154",228,446
JAWA TIMUR,TULUNGAGUNG,3504,L,"12,638",784,"5,982",740,"3,001",145,238
JAWA TIMUR,BLITAR,3505,P,"12,483","1,570","6,034",999,"3,362",485,449
JAWA TIMUR,BLITAR,3505,L,"13,997","1,720","6,074",990,"3,068",232,215
JAWA TIMUR,KEDIRI,3506,P,"20,906","2,239","9,565","1,875","4,878",611,343
JAWA TIMUR,KEDIRI,3506,L,"22,850","2,530","9,741","1,687","4,842",338,207
JAWA TIMUR,MALANG,3507,P,"28,401","3,014","12,006","1,986","4,982",371,293
JAWA TIMUR,MALANG,3507,L,"30,389","3,086","12,157","1,736","4,765",258,178
JAWA TIMUR,LUMAJANG,3508,P,"16,284","1,590","6,522","1,173","2,934",290,351
JAWA TIMUR,LUMAJANG,3508,L,"17,691","1,724","6,843","1,129","2,935",243,245
JAWA TIMUR,JEMBER,3509,P,"39,993","2,623","15,669","2,806","7,011",683,505
JAWA TIMUR,JEMBER,3509,L,"43,269","2,689","16,921","2,531","7,899",566,468
JAWA TIMUR,BANYUWANGI,3510,P,"19,948","2,028","9,467","1,687","5,817",383,641
JAWA TIMUR,BANYUWANGI,3510,L,"21,709","2,110","9,997","1,604","5,916",266,478
JAWA TIMUR,BONDOWOSO,3511,P,"18,387","1,087","6,034","2,281","3,166",850,385
JAWA TIMUR,BONDOWOSO,3511,L,"20,093","1,083","7,172","2,058","4,268",800,442
JAWA TIMUR,SITUBONDO,3512,P,"10,548",374,"3,786",902,"2,199",403,404
JAWA TIMUR,SITUBONDO,3512,L,"11,236",406,"4,167",817,"2,767",349,361
JAWA TIMUR,PROBOLINGGO,3513,P,"23,093","4,215","7,566","3,485","3,453","1,376",366
JAWA TIMUR,PROBOLINGGO,3513,L,"24,910","4,332","8,790","3,132","4,495","1,176",360
JAWA TIMUR,PASURUAN,3514,P,"28,205","1,409","9,214","1,750","4,025",409,331
JAWA TIMUR,PASURUAN,3514,L,"30,538","1,452","10,525","1,665","4,927",411,197
JAWA TIMUR,SIDOARJO,3515,P,"17,065","1,307","9,825",461,"6,481",225,632
JAWA TIMUR,SIDOARJO,3515,L,"18,920","1,317","10,640",426,"7,124",155,377
JAWA TIMUR,MOJOKERTO,3516,P,"11,982","1,794","6,669",707,"4,312",282,229
JAWA TIMUR,MOJOKERTO,3516,L,"12,878","1,796","6,908",660,"4,483",156,107
JAWA TIMUR,JOMBANG,3517,P,"18,470","5,332","9,704","2,979","6,289","1,369",596
JAWA TIMUR,JOMBANG,3517,L,"19,912","5,445","10,359","2,921","6,543",846,301
JAWA TIMUR,NGANJUK,3518,P,"20,898","1,016","9,498","1,440","5,051",465,408
JAWA TIMUR,NGANJUK,3518,L,"22,593","1,075","9,799","1,433","5,297",347,266
JAWA TIMUR,MADIUN,3519,P,"7,480",413,"3,881",557,"2,320",169,108
JAWA TIMUR,MADIUN,3519,L,"8,273",509,"4,102",615,"2,411",109,48
JAWA TIMUR,MAGETAN,3520,P,"6,857",468,"3,528",448,"2,567",170,217
JAWA TIMUR,MAGETAN,3520,L,"7,670",539,"3,830",450,"2,491",144,81
JAWA TIMUR,NGAWI,3521,P,"14,678",870,"7,286",794,"4,690",245,302
JAWA TIMUR,NGAWI,3521,L,"16,113",984,"7,777",876,"4,720",156,188
JAWA TIMUR,BOJONEGORO,3522,P,"19,647","2,966","8,926","2,756","5,607","1,266",447
JAWA TIMUR,BOJONEGORO,3522,L,"21,251","3,172","9,881","2,716","6,550",999,335
